date,temp_f,precip_in
2022-06-01,75,0.42
2022-06-02,90,0.07
2022-06-03,82,0.36
2022-06-04,77,0.35
2022-06-05,87,0.14
2022-06-06,90,0.28
2022-06-07,75,0.22
2022-06-08,82,0.17
2022-06-09,73,0.06
2022-06-10,84,0.43
2022-06-11,60,0.26
2022-06-12,64,0.32
2022-06-13,85,0.05
2022-06-14,82,0.03
2022-06-15,61,0.33
2022-06-16,81,0.36
2022-06-17,85,0.29
2022-06-18,90,0.37
2022-06-19,66,0.34
2022-06-20,87,0.5
2022-06-21,82,0.39
2022-06-22,82,0.0
2022-06-23,85,0.13
2022-06-24,88,0.02
2022-06-25,77,0.1
2022-06-26,75,0.38
2022-06-27,62,0.08
2022-06-28,79,0.43
2022-06-29,63,0.38
2022-06-30,72,0.45
2022-07-01,62,0.1
2022-07-02,62,0.26
2022-07-03,69,0.31
2022-07-04,81,0.16
2022-07-05,67,0.22
2022-07-06,86,0.14
2022-07-07,89,0.37
2022-07-08,89,0.18
2022-07-09,60,0.01
2022-07-10,80,0.26
2022-07-11,75,0.27
2022-07-12,80,0.04
2022-07-13,70,0.46
2022-07-14,75,0.18
2022-07-15,61,0.42
2022-07-16,79,0.23
2022-07-17,66,0.21
2022-07-18,82,0.22
2022-07-19,62,0.03
2022-07-20,78,0.03
2022-07-21,60,0.42
2022-07-22,71,0.04
2022-07-23,82,0.5
2022-07-24,88,0.34
2022-07-25,81,0.01
2022-07-26,60,0.13
2022-07-27,70,0.24
2022-07-28,78,0.34
2022-07-29,62,0.4
2022-07-30,68,0.37
2022-07-31,77,0.24
2022-08-01,79,0.14
2022-08-02,72,0.18
2022-08-03,89,0.13
2022-08-04,72,0.44
2022-08-05,65,0.33
2022-08-06,87,0.49
2022-08-07,87,0.42
2022-08-08,84,0.3
2022-08-09,79,0.31
2022-08-10,64,0.06
2022-08-11,85,0.45
2022-08-12,89,0.46
2022-08-13,79,0.13
2022-08-14,67,0.2
2022-08-15,63,0.17
2022-08-16,73,0.27
2022-08-17,87,0.27
2022-08-18,70,0.38
2022-08-19,88,0.03
2022-08-20,78,0.26
2022-08-21,79,0.44
2022-08-22,69,0.49
2022-08-23,88,0.24
2022-08-24,75,0.07
2022-08-25,81,0.32
2022-08-26,86,0.35
2022-08-27,76,0.08
2022-08-28,64,0.05
2022-08-29,79,0.29
2022-08-30,63,0.28
2022-08-31,70,0.37
2023-06-01,63,0.16
2023-06-02,78,0.31
2023-06-03,76,0.46
2023-06-04,75,0.23
2023-06-05,63,0.36
2023-06-06,74,0.43
2023-06-07,79,0.18
2023-06-08,66,0.39
2023-06-09,71,0.42
2023-06-10,73,0.0
2023-06-11,68,0.01
2023-06-12,73,0.33
2023-06-13,73,0.49
2023-06-14,74,0.43
2023-06-15,68,0.36
2023-06-16,79,0.22
2023-06-17,84,0.36
2023-06-18,75,0.34
2023-06-19,89,0.41
2023-06-20,71,0.4
2023-06-21,64,0.4
2023-06-22,71,0.44
2023-06-23,90,0.36
2023-06-24,65,0.4
2023-06-25,83,0.21
2023-06-26,89,0.16
2023-06-27,77,0.34
2023-06-28,77,0.15
2023-06-29,77,0.18
2023-06-30,90,0.1
2023-07-01,73,0.49
2023-07-02,82,0.41
2023-07-03,70,0.11
2023-07-04,70,0.1
2023-07-05,83,0.33
2023-07-06,83,0.22
2023-07-07,76,0.01
2023-07-08,64,0.16
2023-07-09,86,0.31
2023-07-10,72,0.3
2023-07-11,63,0.18
2023-07-12,81,0.15
2023-07-13,76,0.47
2023-07-14,66,0.36
2023-07-15,61,0.2
2023-07-16,66,0.48
2023-07-17,69,0.04
2023-07-18,74,0.07
2023-07-19,71,0.11
2023-07-20,69,0.22
2023-07-21,62,0.4
2023-07-22,81,0.48
2023-07-23,71,0.08
2023-07-24,69,0.23
2023-07-25,77,0.4
2023-07-26,61,0.41
2023-07-27,80,0.46
2023-07-28,65,0.04
2023-07-29,65,0.07
2023-07-30,60,0.2
2023-07-31,62,0.43
2023-08-01,79,0.35
2023-08-02,73,0.19
2023-08-03,78,0.02
2023-08-04,74,0.03
2023-08-05,90,0.13
2023-08-06,61,0.07
2023-08-07,90,0.14
2023-08-08,71,0.13
2023-08-09,61,0.05
2023-08-10,83,0.26
2023-08-11,61,0.46
2023-08-12,73,0.47
2023-08-13,78,0.15
2023-08-14,81,0.15
2023-08-15,80,0.46
2023-08-16,65,0.35
2023-08-17,78,0.46
2023-08-18,73,0.25
2023-08-19,61,0.07
2023-08-20,75,0.04
2023-08-21,87,0.39
2023-08-22,77,0.16
2023-08-23,79,0.42
2023-08-24,86,0.4
2023-08-25,66,0.11
2023-08-26,73,0.1
2023-08-27,66,0.28
2023-08-28,60,0.23
2023-08-29,88,0.38
2023-08-30,60,0.12
2023-08-31,73,0.18
2024-06-01,67,0.48
2024-06-02,75,0.07
2024-06-03,80,0.37
2024-06-04,64,0.15
2024-06-05,73,0.05
2024-06-06,72,0.09
2024-06-07,70,0.12
2024-06-08,67,0.25
2024-06-09,83,0.48
2024-06-10,77,0.38
2024-06-11,63,0.16
2024-06-12,83,0.42
2024-06-13,68,0.38
2024-06-14,79,0.29
2024-06-15,65,0.07
2024-06-16,74,0.46
2024-06-17,77,0.02
2024-06-18,72,0.41
2024-06-19,70,0.11
2024-06-20,73,0.34
2024-06-21,83,0.05
2024-06-22,71,0.45
2024-06-23,61,0.17
2024-06-24,70,0.46
2024-06-25,84,0.29
2024-06-26,78,0.05
2024-06-27,77,0.26
2024-06-28,89,0.39
2024-06-29,71,0.3
2024-06-30,63,0.31
2024-07-01,74,0.04
2024-07-02,83,0.1
2024-07-03,88,0.16
2024-07-04,69,0.2
2024-07-05,87,0.07
2024-07-06,75,0.17
2024-07-07,76,0.09
2024-07-08,78,0.14
2024-07-09,75,0.26
2024-07-10,71,0.3
2024-07-11,74,0.4
2024-07-12,78,0.02
2024-07-13,65,0.31
2024-07-14,63,0.01
2024-07-15,73,0.09
2024-07-16,64,0.14
2024-07-17,69,0.27
2024-07-18,62,0.05
2024-07-19,83,0.01
2024-07-20,80,0.16
2024-07-21,72,0.45
2024-07-22,76,0.32
2024-07-23,62,0.0
2024-07-24,60,0.19
2024-07-25,81,0.01
2024-07-26,61,0.24
2024-07-27,84,0.47
2024-07-28,67,0.14
2024-07-29,61,0.18
2024-07-30,80,0.32
2024-07-31,63,0.06
2024-08-01,61,0.48
2024-08-02,76,0.46
2024-08-03,64,0.33
2024-08-04,66,0.24
2024-08-05,70,0.34
2024-08-06,71,0.02
2024-08-07,79,0.01
2024-08-08,81,0.24
2024-08-09,68,0.14
2024-08-10,62,0.43
2024-08-11,69,0.12
2024-08-12,88,0.49
2024-08-13,62,0.08
2024-08-14,70,0.43
2024-08-15,65,0.37
2024-08-16,63,0.04
2024-08-17,60,0.24
2024-08-18,82,0.37
2024-08-19,73,0.26
2024-08-20,88,0.5
2024-08-21,79,0.08
2024-08-22,64,0.33
2024-08-23,78,0.25
2024-08-24,70,0.4
2024-08-25,66,0.19
2024-08-26,68,0.47
2024-08-27,76,0.19
2024-08-28,73,0.46
2024-08-29,67,0.03
2024-08-30,61,0.17
2024-08-31,65,0.18
